Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Type of Company,Description
1825,Yamanashi Chuo Bank,0.6,0.1,35.1,0.8,Bank,"The Yamanashi Chuo Bank, Ltd. is a regional bank in Yamanashi. The Bank provides commercial banking services such as deposits, loans, foreign exchange transactions, and securities brokerage. The Yamanashi Chuo Bank also provides financial services such as leasing, credit cards, and credit guarantee as well as invests in venture companies."
1843,Awa Bank,0.8,0,34.1,1.4,Bank,"The Awa Bank, Ltd. is a regional bank based in Tokushima Prefecture. The Bank provides financial services such as deposits, loans, and foreign exchange transaction. The Awa Bank also provides financial services such as leasing, credit cards, and letter of credit."
1847,Oita Bank,0.7,0.1,33.7,0.6,Bank,"The Oita Bank, Ltd. is a regional bank based in Oita prefecture. The Bank provides general banking services including deposits, loans, foreign exchange transactions, and securities investments. The Oita Bank also provides leasing, credit cards, and letter of credit, systems development, and real estate management services."
1851,Aichi Bank,0.6,0,33.5,0.6,Bank,"Aichi Bank is a Japanese bank, listed on the Tokyo Stock Exchange and Nagoya Stock Exchange. It is descended from a company founded in 1910."
1856,Calsonic Kansei,9.4,0.3,4.1,1.2,Manufacture,"Calsonic Kansei Corporation was a Japanese automotive company with 58 manufacturing centres spread throughout the United States, European Union, South Korea, Mexico, Thailand, South Africa, India, China, and Malaysia. "
1858,Jaccs,1.3,0.1,33.1,0.9,Cars,"JACCS CO., LTD. is a consumer credit company. The Company provides consumer installment credits, credit cards, loan guarantees and loans. Jaccs also operates car lease and art rental businesses and have subsidiaries in U.S., Singapore, and Hong Kong."
1874,Tomony Holdings,0.7,0.1,31.7,0.7,Bank,"TOMONY Holdings, Inc. is a Japan-based holding company mainly engaged in the operation and management of its subsidiaries and other supplementary businesses. The Banking segment involves deposit, loan, domestic and foreign currency exchange, securities investment and corporate bonds businesses, among others."
1875,Teijin,10.3,0.1,9.2,2.3,Pharmacy,"Teijin Limited is a Japanese chemical, pharmaceutical and information technology company. Its main fields of operation are high-performance fibers such as aramid, carbon fibers & composites, healthcare, films, resin & plastic processing, polyester fibers, products converting and IT products."
1875,Shikoku Bank,0.5,0,31.6,0.7,Bank,"The Shikoku Bank, Ltd. is a regional bank in Kochi and Tokushima prefectures. The Bank provides banking services such as deposits, loans, and foreign exchange transaction. The Shikoku Bank also provides financial services such as leasing and letter of credit, and operates venture capital business."
1878,Akita Bank,0.6,0,31.6,0.5,Bank,"The Akita Bank, Ltd. is a Japanese regional bank headquartered in the city of Akita, Akita Prefecture. Although the bank’s core business comes from Akita prefecture, various branches are situated outside of the area. These include Koriyama, Sapporo, Morioka, Sendai, and Tokyo. "
1883,Tokyo Tomin Bank,0.6,0,31.4,0.4,Bank,"The Tokyo Tomin Bank, Limited (the Bank) is a Japan-based regional bank, primarily engaged in the provision of financial services, with a focus on banking services. The Bank operates in two business segments."
1885,Showa Denko,8.5,0.1,10.5,2.2,Manufacture,"Showa Denko K. K., founded in 1939 by the merger of Nihon Electrical Industries and Showa Fertilizers, both established by a Japanese entrepreneur Nobuteru Mori, is a Japanese chemical company producing chemical products and industrial materials."
1888,Toho Holdings,13.4,0.1,6.5,1.5,Retail,"Toho Holdings Co., Ltd. is engaged in the wholesale and retail distribution of pharmaceuticals and medical devices. Its operations are carried out through the following business segments: Pharmaceutical Wholesaling, Dispensing Pharmacy, Clinical Trial Facilities Support, and Information Equipment Sales."
1894,Seiko Epson,10.6,0.1,9,1.9,Technology,"Seiko Epson Corporation, or simply known as Epson, is a Japanese electronics company and one of the world's largest manufacturers of computer printers, and information and imaging related equipment."
1897,Tochigi Bank,0.6,0,30.4,0.4,Bank,"THE TOCHIGI BANK, LTD. is a regional bank based in Tochigi. The Bank provides commercial banking services including deposits, loans, foreign exchange transactions, and securities investments. The Tochigi Bank also provides financial services such as mutual funds sales, credit cards, leasing, and clerical works for banks' daily operations."
1901,Yokohama Rubber,6.5,0.4,6.2,3.3,Manufacture,"The Yokohama Rubber Company, Limited is a tire company based in Tokyo, Japan. The company was founded and began on October 13, 1917, in a joint venture between Yokohama Cable Manufacturing and B.F. Goodrich. In 1969, the company expanded to the United States as Yokohama Tire Corporation."
1903,Nippon Steel Trading,13.1,0.1,4,0.4,Trade,"Nippon Steel Trading Corporation sells steel products. The Company mainly imports and exports steel plates, steel pipes, steel strips, and more. Nippon Steel Trading also markets textiles, foodstuffs, and other products. "
1903,Eighteenth Bank,0.6,0,29.9,0.5,Bank,"The Eighteenth Bank, Limited. is a regional bank based in Nagasaki. The Bank provides general banking services including deposits, loans, and foreign exchange transactions. The Eighteenth Bank also develops software and provides building maintenance and financial services such as leasing, letter of credit, credit cards, and clerical work for banks."
1907,Aomori Bank,0.5,0,29.8,0.7,Bank,"The Aomori Bank, Ltd. is a Japanese regional bank headquartered in Aomori, Aomori Prefecture, in the Tōhoku region of northern Honshū. "
1926,Fidea Holdings,0.6,0.1,28.3,0.4,Bank,"FIDEA Holdings Co.Ltd. is a holding company established through the merger of Shonai Bank and Hokuto Bank. The group Companies provide general banking services including deposits, loans, foreign exchange, leasing, and credit cards."
1930,Hokuetsu Bank,0.6,0.1,28.1,0.6,Bank,"The Hokuetsu Bank, Ltd. is a regional bank based in Niigata. The Bank provides general banking services including deposits, loans, exchange transactions, and corresponding banking services. The Bank also provides financial services such as securities brokerage, letter of credit, credit cards, leasing, and data processing."
1932,K's Holdings,8.8,0.3,4,1.5,Retail,"K'S HOLDINGS CORPORATION is a Japan-based holding company engaged in the operation of electronics retail stores, and the provision of home appliances, computers, computer peripheral equipment and mobile phones."
1935,Chiba Kogyo Bank,0.5,0.1,27.8,0.5,Bank,"The Chiba Kōgyō Bank is a Japanese regional bank founded in 1952 and located in Chiba city, the capital of Chiba Prefecture. In 2016 the bank was number 1935 on the list of Forbes Global 2000 biggest public companies. "
1936,Ehime Bank,0.5,0,27.7,0.4,Bank,"The Ehime Bank, Ltd. is a Japan-based regional bank mainly engaged in the provision of financial services. The Bank operates in two business segments. The Banking segment is engaged in the provision of banking services, including deposits, loans, as well as domestic and foreign currency exchange services."
1937,Nippon Meat Packers,12.3,0.1,7,3.3,Conglomerate,"NH Foods Ltd. is a food processing conglomerate headquartered in Umeda, Kita-ku, Osaka, Japan. Founded in 1949, the company is commonly known as Nippon Ham. As a multinational corporation, Nippon Ham operates subsidiaries around the world, including China and the United States."
1954,Kanematsu,12.2,0.1,4.7,0.6,Trade,"Kanematsu Corporation is a trading company involved in various industries including electronics & devices, foods & grain, steel, materials, plants, aerospace and motor vehicles."
1956,Fukui Bank,0.5,0.1,27.1,0.5,Bank,"The Fukui Bank, Ltd. is a regional bank based in Fukui prefecture. The Bank provides banking services such as deposits, loans, foreign exchange transactions, and securities investments. The Fukui Bank also provides financial services such as leasing, credit cards, and letter of credit."
1964,Yamagata Bank,0.5,0,26.6,0.8,Bank,"The Yamagata Bank is a Japanese regional bank that is based out of Yamagata city, Yamagata prefecture. Most of the bank's branches are in Yamagata prefecture, or other major cities in the Tohoku region, with a branch in Tokyo as well."
1967,Tsukuba Bank,0.5,0,26.5,0.4,Bank,"Tsukuba Bank, Ltd. provides commercial and personal banking services. The Bank offers personal and business checking, savings accounts, mortgages, issues credit card, and business loans for customers. Tsukuba Bank serves customers in Japan."
1967,Hakuhodo DY Holdings,11.8,0.1,6.2,3,Media,"HAKUHODO DY HOLDINGS INCORPORATED is a holding company established through the merger of Hakuhodo Inc., Daiko Advertising Inc., and Yomiko Advertising Inc. The Company, through its subsidiaries, provides comprehensive advertising services."
1971,Yachiyo Bank,0.5,0.1,26.5,0.5,Bank,"The Yachiyo Bank, Limited (the Bank) is a regional bank that operates in two business segments. The Banking segment is engaged in the provision of banking services including the acceptance of deposit and subscription fund, loan funds, the discounting of bills, exchange trading, guaranteed debt, the underwriting, offering and sale of government bonds, municipal bonds, government-guaranteed bonds and other securities, trust services, and other banking-related services. The Others segment is involved in the business incidental to banking business. As of March 31, 2012, the Bank had five subsidiaries."
1975,Omron,7.5,0.2,6.1,5.5,Technology,"Omron Corporation, styled as OMRON, is a Japanese electronics company based in Kyoto, Japan. Omron was established by Kazuma Tateishi in 1933 and incorporated in 1948. The company originated in an area of Kyoto called ""Omuro"", from which the name ""Omron"" was derived."
1975,Fuji Electric,8.5,0.1,9.6,2.1,Manufacture,"Fuji Electric Co., Ltd., operating under the brand name FE, is a Japanese electrical equipment company, manufacturing pressure transmitters, flowmeters, gas analyzers, controllers, inverters, pumps, generators, ICs, motors, and power equipment."
1977,Toyota Boshoku,11.6,0,7.1,2.6,Manufacture,"Toyota Boshoku Corporation (トヨタ紡織株式会社, Toyota Boshoku Kabushikigaisha, TYO: 3116) is a Japanese automotive component manufacturer. It is a member of the Toyota Group of companies. Toyota Boshoku Corporation entered the North American market via Toyota Boshoku America (located, inter alia, in Erlanger, Kentucky)."
1980,Miyazaki Bank,0.5,0.1,25.7,0.5,Bank,"The Miyazaki Bank, Ltd. is a Japan-based bank focusing on banking services and mainly engaged in the financial services include leasing business, credit guarantee services and credit card business. The Bank mainly operates in two segments."
1994,Bank of Saga,0.5,0,25,0.4,Bank,"The BANK OF SAGA, LTD. is a regional bank mainly operating in Saga. The Bank provides banking services such as deposits, loans, and foreign exchange transactions. The Bank of Saga also provides staffing services, information processing services, leasing, venture capital, and financial services such as securities brokerage, trust banking, and credit guarantee."
1996,San-Ai Oil,0.5,0.1,25.7,0.5,Manufacture,"San-Ai Oil Co., Ltd. is a Japanese corporation dealing in petroleum products, aviation fuel storage and related services. Established in 1952, San-Ai has a market capitalization of 72.91 billion yen. It is a member of the Ricoh San-Ai Group. Its headquarters are in Shinagawa, Tokyo."
2001,Daiso,11.5,0.5,5.5,2.7,Convenience ,"Daiso Industries Co., Ltd. is a large franchise of 100-yen shops founded in Japan. Its headquarters are in Higashihiroshima, Hiroshima Prefecture. Daiso has a range of over 100,000 products, of which over 40 percent are imported goods, many of them from China, Korea, and Japan."
